Film,Scare Level,Quality Level ,Gore Level ,Trailer
Blow Out (1981),Scare Me Some,Excellent,Paper Cut,https://www.youtube.com/watch?v=dgWfyFgEsO8
Night of the Hunter (1955),Scare Me Some,Great ,Not a Dop,https://www.youtube.com/watch?v=Y8dX6ZKJe2o
The Witches of Eastwick (1987),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=mLs1y_KSTKk
Practical Magic (1998),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=1pmSzGEqobo
The Craft (1996),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=MmY8B1JH7dU
Hocus Pocus (1993),Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=F4e6YQFrt1s
Troll 2 (1990),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=CkNB0w1fYKk
Halloween 3: Season of the Witch (1982),Easy Watching for the Faint of Heart,Great ,Missing Limbs,https://www.youtube.com/watch?v=JBn_iQXSmiY
Birdemic (2010),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=jE5dJDgZ644
The Visitor (1979),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=qDZiN6T7HQ4
The Masque of the Red Death (1964),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=vCUtm7mCF4I
The Blob (1958),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=J-heIT3L9Qg
Frankenstein (1931),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=AkSbwiKP3mo
Bride of Frankenstein (1935),Easy Watching for the Faint of Heart,Excellent,Not a Dop,https://www.youtube.com/watch?v=rYD3-pIF9jQ
Young Frankenstein (1974),Easy Watching for the Faint of Heart,Excellent,Not a Dop,https://www.youtube.com/watch?v=UsOnSlh7Lns
Bram Stoker's Dracula (1992),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=cpAfqCUaVwg
Nosferatu: A Symphony of Horror (1922),Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=ZxlJxDr26mM
Shadow of the Vampire (2000),Easy Watching for the Faint of Heart,Good,Missing Limbs,https://www.youtube.com/watch?v=_B15iesNMa8
Nosferatu (1979),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=fnJqLNGBAPc
Nightmare Before Christmas (1993),Easy Watching for the Faint of Heart,Great ,Not a Dop,https://www.youtube.com/watch?v=wr6N_hZyBCk
Edward Scissorhands (1990),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=TBHIO60whNw
Mars Attacks (1996),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=DqtjHWlM4lQ
Ghostbusters (1984),Easy Watching for the Faint of Heart,Excellent,Paper Cut,https://www.youtube.com/watch?v=6hDkhw5Wkas
Tucker and Dale vs. Evil (2010),Easy Watching for the Faint of Heart,Good,Buckets & Buckets,https://www.youtube.com/watch?v=l1t8OZn_uhE
Lost Boys (1987),Easy Watching for the Faint of Heart,Great ,Missing Limbs,https://www.youtube.com/watch?v=r1Iqy6m7U7c
Beetlejuice (1989),Easy Watching for the Faint of Heart,Excellent,Missing Limbs,https://www.youtube.com/watch?v=ickbVzajrk0
Serial Mom (1994),Easy Watching for the Faint of Heart,Great ,Missing Limbs,https://www.youtube.com/watch?v=Ut9GvlhB9f4
Dr. Caligari (1920),Easy Watching for the Faint of Heart,Excellent,Not a Dop,https://www.youtube.com/watch?v=IAtpxqajFak
Haunted House (1921),Easy Watching for the Faint of Heart,Great ,Not a Dop,https://www.youtube.com/watch?v=cKOoOK09HvQ
Vampyr (1932),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=N1P7Q2JRBic
Haxan (1922),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=xFqhJTuvHnc
The Lure (2015),Easy Watching for the Faint of Heart,Good,Missing Limbs,https://www.youtube.com/watch?v=WgWe9QVqrl0
Phantom of the Paradise (1974),Easy Watching for the Faint of Heart,Great ,Missing Limbs,https://www.youtube.com/watch?v=T9yof8cwli4
Rocky Horror Picture Show (1975),Easy Watching for the Faint of Heart,Excellent,Paper Cut,https://www.youtube.com/watch?v=LnYBwampG8U
Fantasia (1940),Easy Watching for the Faint of Heart,Excellent,Not a Dop,https://www.youtube.com/watch?v=b756FPiLlp8
The Black Cauldron (1985),Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=5roWlRne7lc
Skeleton Dance (1929),Easy Watching for the Faint of Heart,Excellent,Not a Dop,https://www.youtube.com/watch?v=61t22VGByok
The Adventures of Ichabod and Mr. Toad (1949),Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=Ju_BnpsfznA
Death Becomes Her (1992),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=NFXQQ2uAeHM
Casper (1995),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=e8RATQJIngU
Monster Squad (1987),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=TeZs0B0mjXY
Halloweentown (1998),Easy Watching for the Faint of Heart,Meh,Not a Dop,https://www.youtube.com/watch?v=PjQ80RFVc0Q
Coraline (2009),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=vlv4yzsmwyI
